Designator,Mid X,Mid Y,Rotation,Layer
BOOT,72.745,-78.015,90.0,top
C1,75.322106,-105.571972,315.0,top
C10,83.098008,-91.061992,45.0,top
C11,77.23,-87.82,45.0,top
C12,72.805,-111.6164,180.0,top
C13,79.66,-87.81,180.0,top
C14,74.69,-99.37,270.0,top
C15,81.41,-98.07,0.0,top
C16,83.088008,-94.508008,315.0,top
C17,75.9,-72.215,90.0,top
C18,82.695,-80.78,180.0,top
C2,79.345261,-105.895262,225.0,top
C3,72.201992,-90.171992,135.0,top
C4,76.31,-111.81,0.0,top
C5,80.01,-73.14,180.0,top
C6,73.495,-71.63,180.0,top
C7,75.71,-100.155,270.0,top
C8,79.66,-86.69,180.0,top
C9,82.585,-88.46,90.0,top
CH1,77.37,-114.53,90.0,top
D1,82.43,-68.91,270.0,top
D2,81.37,-103.25,90.0,top
J1,77.51,-67.0025,180.0,top
J2,85.01,-68.76,0.0,top
J8,70.01,-68.76,0.0,top
R1,73.495,-72.73,0.0,top
R10,83.335,-85.61,270.0,top
R11,81.37,-100.285,270.0,top
R2,75.55,-79.82,0.0,top
R3,79.476637,-102.186637,315.0,top
R4,74.9276,-68.9738,180.0,top
R5,80.0706,-68.923,0.0,top
R6,82.43,-72.0088,270.0,top
R7,72.1704,-113.6606,90.0,top
R8,73.288,-113.6606,270.0,top
R9,81.86,-84.91,270.0,top
RUN,81.82,-110.54,270.0,top
U1,76.21,-83.486118,0.0,top
U2,80.0076,-71.03,90.0,top
U3,78.62,-77.08,180.0,top
U4,77.53807,-93.64934,315.0,top
Y1,77.19,-103.74,315.0,top
